GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0500000US53033,53033,"King County, Washington",0700000US530339307878780,530339307878780,King County - COUNTY SUBDIVISION AND PLACE - Snoqualmie Valley CCD - Wilderness Rim CDP,Wilderness Rim CDP,1523,601,0.63,0.01,0.62,2447.1,965.7
0500000US53033,53033,"King County, Washington",0700000US530339307899999,530339307899999,King County - COUNTY SUBDIVISION AND PLACE - Snoqualmie Valley CCD - Remainder of Snoqualmie Valley CCD,Remainder of Snoqualmie Valley CCD,15119,6569,884.53,17.79,866.75,17.4,7.6
0500000US53033,53033,"King County, Washington",0600000US5303393392,5303393392,King County - COUNTY SUBDIVISION AND PLACE - Tahoma-Maple Valley CCD,Tahoma-Maple Valley CCD,62250,22972,91.86,2.07,89.79,693.3,255.8
0500000US53033,53033,"King County, Washington",0700000US530339339215290,530339339215290,King County - COUNTY SUBDIVISION AND PLACE - Tahoma-Maple Valley CCD - Covington city,Covington city,17575,6081,5.96,0.10,5.86,2998.1,1037.4
0500000US53033,53033,"King County, Washington",0700000US530339339219515,530339339219515,King County - COUNTY SUBDIVISION AND PLACE - Tahoma-Maple Valley CCD - East Hill-Meridian CDP (part),East Hill-Meridian CDP (part),2282,757,2.39,0.02,2.37,961.2,318.9
0500000US53033,53033,"King County, Washington",0700000US530339339231495,530339339231495,King County - COUNTY SUBDIVISION AND PLACE - Tahoma-Maple Valley CCD - Hobart CDP (part),Hobart CDP (part),6167,2495,18.71,0.11,18.60,331.6,134.2
0500000US53033,53033,"King County, Washington",0700000US530339339235415,530339339235415,King County - COUNTY SUBDIVISION AND PLACE - Tahoma-Maple Valley CCD - Kent city (part),Kent city (part),12144,4608,3.95,0.25,3.70,3283.8,1246.0
0500000US53033,53033,"King County, Washington",0700000US530339339237567,530339339237567,King County - COUNTY SUBDIVISION AND PLACE - Tahoma-Maple Valley CCD - Lake Morton-Berrydale CDP (part),Lake Morton-Berrydale CDP (part),2695,1032,2.67,0.03,2.64,1020.0,390.6
0500000US53033,53033,"King County, Washington",0700000US530339339243150,530339339243150,King County - COUNTY SUBDIVISION AND PLACE - Tahoma-Maple Valley CCD - Maple Valley city (part),Maple Valley city (part),15693,5762,4.27,0.18,4.09,3840.0,1409.9
0500000US53033,53033,"King County, Washington",0700000US530339339246215,530339339246215,King County - COUNTY SUBDIVISION AND PLACE - Tahoma-Maple Valley CCD - Mirrormont CDP (part),Mirrormont CDP (part),632,237,2.42,0.04,2.37,266.2,99.8
0500000US53033,53033,"King County, Washington",0700000US530339339263545,530339339263545,King County - COUNTY SUBDIVISION AND PLACE - Tahoma-Maple Valley CCD - Shadow Lake CDP,Shadow Lake CDP,2262,884,5.33,0.14,5.19,436.0,170.4
0500000US53033,53033,"King County, Washington",0700000US530339339299999,530339339299999,King County - COUNTY SUBDIVISION AND PLACE - Tahoma-Maple Valley CCD - Remainder of Tahoma-Maple Valley CCD,Remainder of Tahoma-Maple Valley CCD,2800,1116,46.16,1.19,44.97,62.3,24.8
0500000US53033,53033,"King County, Washington",0600000US5303393616,5303393616,King County - COUNTY SUBDIVISION AND PLACE - Vashon Island CCD,Vashon Island CCD,10624,5552,80.80,43.88,36.92,287.7,150.4
0500000US53033,53033,"King County, Washington",0700000US530339361674305,530339361674305,King County - COUNTY SUBDIVISION AND PLACE - Vashon Island CCD - Vashon CDP,Vashon CDP,10624,5552,80.80,43.88,36.92,287.7,150.4
0500000US53033,53033,"King County, Washington",1590000US5303301290,5303301290,King County - PLACE - Algona city,Algona city,3014,1018,1.29,0.00,1.29,2332.1,787.7
0500000US53033,53033,"King County, Washington",1590000US5303301920,5303301920,King County - PLACE - Ames Lake CDP,Ames Lake CDP,1486,590,1.72,0.12,1.60,929.1,368.9
0500000US53033,53033,"King County, Washington",1590000US5303303180,5303303180,King County - PLACE - Auburn city (part),Auburn city (part),62761,24688,28.23,0.27,27.97,2244.1,882.8
0500000US53033,53033,"King County, Washington",1590000US5303304300,5303304300,King County - PLACE - Baring CDP,Baring CDP,220,254,1.13,0.09,1.04,211.4,244.1
0500000US53033,53033,"King County, Washington",1590000US5303304895,5303304895,King County - PLACE - Beaux Arts Village town,Beaux Arts Village town,299,118,0.17,0.08,0.08,3531.5,1393.7
0500000US53033,53033,"King County, Washington",1590000US5303305210,5303305210,King County - PLACE - Bellevue city,Bellevue city,122363,55551,36.47,4.50,31.97,3827.7,1737.7
0500000US53033,53033,"King County, Washington",1590000US5303306330,5303306330,King County - PLACE - Black Diamond city,Black Diamond city,4151,1685,6.66,0.64,6.01,690.1,280.1
0500000US53033,53033,"King County, Washington",1590000US5303307380,5303307380,King County - PLACE - Bothell city (part),Bothell city (part),17090,7553,5.66,0.00,5.66,3017.4,1333.5
0500000US53033,53033,"King County, Washington",1590000US5303307397,5303307397,King County - PLACE - Boulevard Park CDP,Boulevard Park CDP,5287,2262,1.61,0.07,1.54,3435.1,1469.7
0500000US53033,53033,"King County, Washington",1590000US5303308552,5303308552,King County - PLACE - Bryn Mawr-Skyway CDP,Bryn Mawr-Skyway CDP,15645,6189,3.01,0.17,2.84,5512.2,2180.6
0500000US53033,53033,"King County, Washington",1590000US5303308850,5303308850,King County - PLACE - Burien city,Burien city,33313,14322,13.23,5.81,7.42,4489.8,1930.3
