GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049,D050,D051,D052,D053,D054,D055,D056,D057,D058,D059,D060,D061,D062,D063,D064,D065,D066,D067,D068,D069,D070,D071
1400000US53033003200,53033003200,"Census Tract 32, King County, Washington",7683,7397,6880,104,41,284,12,76,286,260,39,53,132,6,13,3,4,2,3,0,0,0,1,3,1,23,11,5,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033003300,53033003300,"Census Tract 33, King County, Washington",6224,5919,5315,107,57,324,19,97,305,276,46,78,110,4,12,3,10,0,3,5,0,2,2,1,0,28,12,1,2,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033003400,53033003400,"Census Tract 34, King County, Washington",3302,3181,2961,39,23,127,3,28,121,110,16,28,54,4,5,0,0,0,0,0,0,0,2,1,0,8,0,0,0,3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033003500,53033003500,"Census Tract 35, King County, Washington",3936,3796,3520,59,21,139,3,54,140,121,18,23,64,4,5,0,4,0,0,1,0,0,1,1,0,17,7,2,0,1,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033003600,53033003600,"Census Tract 36, King County, Washington",5672,5375,4652,102,26,520,6,69,297,275,38,48,151,6,11,1,8,0,2,0,0,0,6,4,0,22,8,2,0,0,4,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033003800,53033003800,"Census Tract 38, King County, Washington",2058,1948,1684,40,13,202,2,7,110,103,15,13,60,3,3,0,0,0,0,5,0,1,2,1,0,7,2,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033003900,53033003900,"Census Tract 39, King County, Washington",2772,2614,2211,41,12,327,0,23,158,146,24,11,85,0,14,0,5,0,0,2,0,0,1,4,0,12,2,4,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033004000,53033004000,"Census Tract 40, King County, Washington",2690,2560,2115,146,8,247,20,24,130,120,19,15,58,4,12,2,1,0,3,0,1,0,5,0,0,10,7,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033004100,53033004100,"Census Tract 41, King County, Washington",7789,7484,6509,57,23,817,12,66,305,279,28,33,187,3,13,2,1,1,3,0,0,1,5,2,0,23,4,1,0,0,7,0,1,6,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033004200,53033004200,"Census Tract 42, King County, Washington",7618,7241,6220,197,30,683,18,93,377,353,55,43,205,5,19,2,7,0,1,1,0,2,7,3,3,21,9,2,0,0,3,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
